Topic,Count,Name,Category,Representation
-1,132,-1_network_management_forecasting_algorithm,network management forecasting algorithm,"['network', 'management', 'forecasting', 'algorithm', 'visualization', 'analytics', 'strategic', 'datadriven', 'degree', 'software']"
0,87,0_cell_clinical_gene_bioinformatics,cell clinical gene bioinformatics,"['cell', 'clinical', 'gene', 'bioinformatics', 'biotechnology', 'immunology', 'molecule', 'proteomics', 'technical', 'develop']"
1,48,1_ai_quantum_nlp_largescale,ai quantum nlp largescale,"['ai', 'quantum', 'nlp', 'largescale', 'generative', 'engineer', 'llm', 'collaborative', 'openai', 'reinforcement']"
2,45,2_health_clinical_rwe_insurance,health clinical rwe insurance,"['health', 'clinical', 'rwe', 'insurance', 'realworld', 'insight', 'visualization', 'statistic', 'epidemiology', 'management']"
3,38,3_cloud_spark_pipeline_hadoop,cloud spark pipeline hadoop,"['cloud', 'spark', 'pipeline', 'hadoop', 'analytics', 'scalable', 'datadriven', 'ml', 'degree', 'forecasting']"
4,35,4_qualitative_visualization_analytics_digital,qualitative visualization analytics digital,"['qualitative', 'visualization', 'analytics', 'digital', 'spss', 'software', 'datadriven', 'develop', 'range', 'algorithm']"
5,29,5_fraud_financial_rate_ab,fraud financial rate ab,"['fraud', 'financial', 'rate', 'ab', 'testing', 'optimize', 'analytics', 'portfolio', 'predictive', 'growth']"
6,24,6_azure_cloud_ml_game,azure cloud ml game,"['azure', 'cloud', 'ml', 'game', 'ai', 'pipeline', 'databricks', 'scalable', 'sourcing', 'collaborative']"
7,18,7_environmental_water_estimate_system,environmental water estimate system,"['environmental', 'water', 'estimate', 'system', 'optimization', 'economic', 'testing', 'engineering', 'inventory', 'management']"
8,15,8_oracle_service_management_market,oracle service management market,"['oracle', 'service', 'management', 'market', 'proficiency', 'error', 'software', 'growth', 'future', 'testing']"
9,14,9_revenue_sale_forecasting_management,revenue sale forecasting management,"['revenue', 'sale', 'forecasting', 'management', 'optimize', 'proficiency', 'analytics', 'pipeline', 'risk', 'segmentation']"
10,11,10_recommendation_market_operation_datadriven,recommendation market operation datadriven,"['recommendation', 'market', 'operation', 'datadriven', 'analytics', 'optimize', 'testing', 'digital', 'visualization', 'airflow']"
11,11,11_ab_recommendation_analytics_predictive,ab recommendation analytics predictive,"['ab', 'recommendation', 'analytics', 'predictive', 'life', 'develop', 'testing', 'llm', 'mental', 'datadriven']"
